民居类型 (核心分类),代表名称/分布区,时代/鼎盛期,省份,市县/区域,经度 (E),纬度 (N),主体材料,屋顶形制,院落格局
徽派,西递、宏村,明、清,安徽,黟县,117°38',30°11',砖木,硬山 (马头墙),天井式三合院/四合院
晋派 (北方四合院),北京四合院,元、明、清,北京,城区,116°23',39°54',砖木,硬山/卷棚,四合院 (中轴对称)
晋派 (晋商大院),乔家大院,清,山西,祁县,112°20',37°21',砖木,硬山,城堡式封闭合院
闽南 (客家土楼),福建土楼,明、清,福建,永定/南靖,117°03',24°40',夯土/木,悬山 (青瓦),圆形/方形聚落
客家 (围龙屋),围龙屋,明、清,广东/福建,梅州/龙岩,116°06',24°18',夯土/木,悬山,半圆形围合
岭南 (广府),镬耳屋,清,广东,珠江三角洲,113°14',23°08',砖木,硬山 (镬耳墙),三合院/四合院
干栏式 (吊脚楼),苗族/土家族村落,清、现代,重庆/贵州/广西,彭水县/西江,108°14',29°15',木/竹,歇山/悬山,依山聚落 (单体)
窑洞,下沉式地坑院,历代,河南/陕西/山西,三门峡/延安,111°11',34°45',黄土/砖,平顶/拱券,地下四合院
江南水乡,周庄/乌镇,明、清,江苏/浙江,苏州/嘉兴,120°51',30°55',砖木,硬山 (观音兜),临水天井院
西南合院 (三坊一照壁),丽江古城,明、清,云南,丽江,100°14',26°52',木/土坯,悬山,三合院+照壁
山地四合院,爨底下村,明、清,北京,门头沟,115°41',39°57',砖石/木,硬山,山地四合院
藏族碉房,藏族民居,近代,西藏/青海,拉萨/同仁,91°08',29°39',石/夯土,平顶,单体/碉楼式
